"World TOP 20 Countries with highest primary energy consumption 
 in 2014 (Mtoe)",Energy,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
China,,0.68,3.75,"1,656.06",1.28,168.61,0.01,76.53,31.02,548.93,2.50,12.76
United States of America,,2.84,6.79,429.29,28.33,691.37,1.60,22.30,207.68,964.96,1.62,15.66
Russian Federation & U.S.S.R.,,-,0.24,108.50,-,373.63,0.04,15.30,44.06,178.67,-,0.00
India,,0.09,0.35,334.11,0.28,46.83,-,11.22,8.06,191.19,0.49,3.01
Japan,,0.01,3.01,85.57,-,126.18,0.26,6.60,-,217.85,1.91,0.44
Canada,,0.11,0.63,22.31,1.07,96.20,-,32.27,26.30,122.32,0.07,0.99
Germany,,1.92,3.80,53.90,0.36,71.09,0.02,1.70,23.96,121.61,2.91,4.98
Brazil,,2.54,4.91,6.27,14.54,38.45,-,33.28,3.81,160.49,0.00,0.56
Republic of Korea,,0.27,0.10,56.15,-,47.74,-,0.37,38.90,119.14,0.21,0.10
Iran (Islamic Republic of),,-,0.00,1.42,-,157.91,-,1.27,1.08,93.64,-,0.03
Saudi Arabia,,-,-,-,-,92.93,-,-,-,161.02,-,-
France,,1.77,0.66,8.34,0.48,35.68,0.01,6.07,108.22,86.49,0.57,1.45
Mexico,,0.02,0.26,8.34,-,75.76,0.54,3.31,2.43,99.66,0.01,0.42
United Kingdom,,0.85,1.87,26.73,0.19,66.27,-,0.40,15.09,76.29,0.34,2.09
Indonesia,,0.81,0.02,40.29,-,39.88,0.98,1.33,-,87.96,0.00,0.00
Australia,,0.04,0.20,65.83,0.13,39.63,0.00,1.54,-,54.86,0.23,0.69
Italy,,0.56,1.40,12.36,0.03,56.37,0.99,4.38,-,62.60,2.12,1.30
South Africa,,0.00,0.02,100.42,0.00,4.75,-,0.09,3.84,32.48,0.00,0.00
Spain,,1.79,0.43,9.44,0.35,26.25,-,3.13,14.29,61.31,1.22,6.84
Thailand,,0.93,0.27,10.50,0.34,45.84,0.00,0.48,-,60.33,0.14,0.00
Turkey,,0.02,0.11,21.94,0.00,44.33,0.15,5.05,-,35.73,0.09,0.79
Taiwan,,0.03,0.29,29.88,0.01,16.15,-,0.31,10.63,49.96,0.01,0.15
United Arab Emirates,,-,-,1.17,-,64.52,-,-,-,38.21,0.00,-
Ukraine,,-,0.01,27.84,-,35.91,-,0.54,21.59,11.08,-,0.04
Poland,,0.68,1.19,48.67,0.12,14.83,-,0.21,-,25.87,0.00,0.48
Egypt,,-,-,0.79,-,47.86,-,1.10,-,41.32,0.00,0.14
Netherlands,,0.14,0.49,6.73,0.08,31.85,-,0.01,1.01,48.67,0.05,0.61
Argentina,,0.73,0.19,0.83,0.14,44.18,-,2.53,1.37,38.57,0.00,0.05
Malaysia,,0.04,0.20,12.63,-,29.24,-,0.79,-,35.14,0.00,-
Singapore,,0.01,0.10,-,-,8.98,-,-,-,64.33,0.00,-
Kazakhstan,,-,-,37.91,-,19.55,-,0.69,-,12.63,-,-
Venezuela,,-,-,0.20,-,25.14,-,7.13,-,37.72,-,-
Algeria,,-,-,0.20,-,41.30,-,0.02,-,20.08,-,-
Pakistan,,-,-,3.05,-,30.17,-,2.79,1.08,22.84,-,0.00
Belgium,,0.40,0.53,2.29,0.29,14.98,-,0.03,8.35,31.36,0.26,0.38
Viet Nam,,-,0.00,16.70,-,8.50,-,4.60,-,25.21,-,0.00
Uzbekistan,,-,-,1.09,-,43.47,-,0.97,-,3.53,-,-
Qatar,,-,-,-,-,35.58,-,-,-,12.65,-,-
Sweden,,0.26,1.03,1.37,0.09,0.88,-,5.22,16.23,14.96,0.00,0.87
Kuwait,,-,-,-,-,16.58,-,-,-,23.60,-,-
Iraq,,-,-,-,-,1.07,-,0.35,-,37.60,-,-
Czech Republic,,0.20,0.42,12.57,0.09,6.84,-,0.24,7.45,10.19,0.18,0.04
Turkmenistan,,-,-,-,-,26.18,-,0.00,-,7.44,-,-
Colombia,,0.55,0.13,4.12,0.31,6.88,-,3.78,-,17.10,-,0.00
Philippines,,0.09,0.01,8.99,0.00,2.81,0.86,0.82,-,16.75,0.00,0.01
Chile,,-,0.62,7.22,-,4.34,-,1.70,-,16.39,-,0.05
Norway,,0.22,0.13,0.80,-,5.75,-,10.93,-,11.49,0.09,0.22
Belarus,,0.03,0.10,0.11,-,20.35,-,0.01,-,8.95,-,0.00
Romania,,0.09,0.01,5.24,0.01,9.83,-,1.29,2.80,10.24,0.00,-
Bangladesh,,-,0.00,1.07,-,21.96,-,0.10,-,5.96,0.01,0.00
Nigeria,,-,-,0.02,-,13.75,-,0.52,-,14.60,-,-
Oman,,-,-,-,-,19.85,-,-,-,8.62,-,-
Austria,,0.38,0.60,1.94,0.08,7.08,0.00,3.57,-,13.22,0.07,0.32
Hong Kong Special Administrative Region (China),,0.00,0.01,6.33,-,2.39,-,-,-,17.29,-,0.00
Switzerland,,-,0.21,0.10,-,2.98,-,3.27,6.61,12.09,0.07,0.01
Greece,,0.12,0.03,5.90,-,2.74,-,0.54,-,14.37,0.20,0.36
Israel,,0.00,0.01,5.36,-,6.86,-,0.00,-,11.89,0.08,0.00
Finland,,0.26,0.93,2.55,-,2.80,-,1.09,5.91,9.95,0.00,0.10
